url,model_id,match_rule,confidence,note
https://www.contactcars.com/en/new-cars/peugeot-3008/year-2027,m_000005,same brand+model slug,HIGH,second source (was Hatla2ee only); found by discovery triage 2026-09-25
https://www.contactcars.com/en/new-cars/peugeot-5008/year-2026,m_000014,same brand+model slug,HIGH,second source (was Hatla2ee only)
https://www.contactcars.com/en/new-cars/mitsubishi-eclipse/year-2026,m_000015,ContactCars 'Eclipse' SUV; same price range as Hatla2ee Eclipse Cross (1.40-1.69M),MEDIUM,review: slug omits 'Cross'
https://www.contactcars.com/en/new-cars/deepal-s05/year-2026,m_000021,same brand+model slug,HIGH,second source (was Hatla2ee only)
https://www.contactcars.com/en/new-cars/haval-h7/year-2026,m_000022,same brand+model slug,HIGH,second source (was Hatla2ee only)
https://www.contactcars.com/en/new-cars/kgm-torres/year-2026,m_000017,same brand+model slug,HIGH,second source (was Hatla2ee only)
https://www.contactcars.com/en/new-cars/citroen-c5_aircross/year-2027,m_000008,same brand+model slug,HIGH,model page (was only on the Citroen brand page)
https://eg.hatla2ee.com/en/new-car/baic/BJ30,m_000023,same brand+model slug,HIGH,second source (was ContactCars only)
https://eg.hatla2ee.com/en/new-car/kia/Seltos,m_000016,same brand+model slug,HIGH,
https://eg.hatla2ee.com/en/new-car/jetour/T1,m_000009,same brand+model slug,HIGH,second source (was ContactCars only)
https://eg.hatla2ee.com/en/new-car/jetour/T2,m_000004,same brand+model slug,HIGH,second source (was ContactCars only)
https://eg.hatla2ee.com/en/new-car/moris-garage/MG-HS,m_000020,same brand+model slug,HIGH,Hatla2ee uses 'moris-garage' for MG
